0Zhe,1Zhe,2Zhe,3Zhe,4Zhe
"('file_id_tid_emb_10', 1115.0)","('ProNE_Emb_17', 1246.0)","('ntunmapviewofsection', 1129.0)","('ProNE_Emb_17', 1276.0)","('ProNE_Emb_45', 1205.0)"
"('file_id_tid_emb_61', 1107.0)","('ProNE_Emb_45', 1246.0)","('ProNE_Emb_59', 1129.0)","('ProNE_Emb_59', 1275.0)","('ProNE_Emb_35', 1196.0)"
"('ProNE_Emb_56', 1097.0)","('file_id_tid_emb_17', 1243.0)","('ProNE_Emb_20', 1125.0)","('ProNE_Emb_39', 1273.0)","('file_id_tid_emb_45', 1194.0)"
"('file_id_tid_emb_47', 1094.0)","('file_id_tid_emb_10', 1239.0)","('ProNE_Emb_55', 1125.0)","('file_id_tid_emb_6', 1266.0)","('file_id_tid_emb_10', 1190.0)"
"('ProNE_Emb_12', 1079.0)","('ProNE_Emb_12', 1231.0)","('file_id_tid_emb_24', 1108.0)","('ProNE_Emb_13', 1234.0)","('ProNE_Emb_20', 1171.0)"
"('file_id_api_emb_15', 1078.0)","('file_id_tid_emb_25', 1228.0)","('ProNE_Emb_36', 1105.0)","('file_id_tid_emb_52', 1229.0)","('file_id_tid_emb_47', 1169.0)"
"('file_id_tid_emb_32', 1072.0)","('std_api_counts', 1225.0)","('ProNE_Emb_18', 1102.0)","('ProNE_Emb_35', 1228.0)","('regqueryvalueexw', 1165.0)"
"('min_api_counts', 1071.0)","('ntcreatethreadex', 1216.0)","('file_id_tid_emb_28', 1098.0)","('regqueryvalueexw', 1225.0)","('file_id_tid_emb_15', 1161.0)"
"('ProNE_Emb_20', 1071.0)","('file_id_tid_emb_16', 1213.0)","('file_id_tid_emb_62', 1096.0)","('ProNE_Emb_38', 1225.0)","('ProNE_Emb_43', 1159.0)"
"('ProNE_Emb_21', 1065.0)","('file_id_api_emb_15', 1209.0)","('regqueryvalueexw', 1093.0)","('file_id_tid_emb_59', 1224.0)","('ProNE_Emb_17', 1158.0)"
"('file_id_tid_emb_13', 1059.0)","('file_id_tid_emb_14', 1191.0)","('file_id_tid_emb_45', 1092.0)","('file_id_tid_emb_50', 1223.0)","('file_id_tid_emb_22', 1156.0)"
"('ProNE_Emb_13', 1057.0)","('file_id_tid_emb_50', 1190.0)","('api_unique', 1089.0)","('file_id_tid_emb_61', 1214.0)","('ProNE_Emb_15', 1156.0)"
"('file_id_tid_emb_33', 1052.0)","('ProNE_Emb_52', 1189.0)","('ProNE_Emb_56', 1089.0)","('file_id_tid_emb_35', 1208.0)","('min_api_counts', 1152.0)"
"('createactctxw', 1051.0)","('min_api_counts', 1186.0)","('file_id_tid_emb_25', 1083.0)","('min_api_counts', 1204.0)","('ProNE_Emb_56', 1148.0)"
"('file_id_tid_emb_17', 1044.0)","('ProNE_Emb_15', 1186.0)","('file_id_tid_emb_32', 1082.0)","('max_tid_counts', 1200.0)","('ProNE_Emb_11', 1147.0)"
"('ntcreatekey', 1043.0)","('file_id_tid_emb_39', 1179.0)","('file_id_tid_emb_61', 1079.0)","('file_id_tid_emb_29', 1196.0)","('file_id_tid_emb_34', 1146.0)"
"('ntunmapviewofsection', 1035.0)","('file_id_tid_emb_49', 1169.0)","('createactctxw', 1079.0)","('ProNE_Emb_18', 1195.0)","('file_id_api_emb_15', 1144.0)"
"('ProNE_Emb_28', 1031.0)","('file_id_tid_emb_62', 1165.0)","('ProNE_Emb_32', 1079.0)","('ProNE_Emb_16', 1193.0)","('file_id_tid_emb_59', 1134.0)"
"('file_id_tid_emb_53', 1030.0)","('file_id_api_emb_6', 1161.0)","('file_id_tid_emb_46', 1074.0)","('ProNE_Emb_20', 1191.0)","('file_id_tid_emb_49', 1132.0)"
"('ProNE_Emb_32', 1030.0)","('file_id_api_emb_42', 1159.0)","('getsystemdirectoryw', 1074.0)","('ProNE_Emb_11', 1190.0)","('ntcreatethreadex', 1131.0)"
"('ProNE_Emb_57', 1027.0)","('file_id_tid_emb_45', 1157.0)","('file_id_tid_emb_15', 1073.0)","('file_id_tid_emb_49', 1188.0)","('file_id_api_emb_63', 1129.0)"
"('file_id_tid_emb_45', 1024.0)","('ProNE_Emb_54', 1157.0)","('file_id_tid_emb_47', 1073.0)","('ProNE_Emb_31', 1187.0)","('file_id_tid_emb_32', 1120.0)"
"('file_id_tid_emb_2', 1018.0)","('file_id_api_emb_63', 1156.0)","('file_id_tid_emb_7', 1066.0)","('file_id_tid_emb_22', 1178.0)","('ProNE_Emb_36', 1107.0)"
"('file_id_tid_emb_54', 1017.0)","('file_id_tid_emb_27', 1146.0)","('std_api_counts', 1064.0)","('file_id_api_emb_63', 1174.0)","('file_id_tid_emb_50', 1098.0)"
"('file_id_api_emb_6', 1016.0)","('ProNE_Emb_39', 1144.0)","('file_id_tid_emb_34', 1064.0)","('file_id_tid_emb_5', 1174.0)","('file_id_tid_emb_30', 1093.0)"
"('file_id_tid_emb_24', 1016.0)","('file_id_tid_emb_7', 1143.0)","('file_id_tid_emb_17', 1048.0)","('ProNE_Emb_48', 1173.0)","('file_id_tid_emb_19', 1091.0)"
"('file_id_tid_emb_34', 1009.0)","('file_id_tid_emb_52', 1140.0)","('file_id_tid_emb_20', 1038.0)","('file_id_tid_emb_7', 1170.0)","('file_id_tid_emb_61', 1083.0)"
"('getsystemmetrics', 997.0)","('file_id_tid_emb_35', 1137.0)","('file_id_tid_emb_12', 1036.0)","('file_id_tid_emb_45', 1168.0)","('file_id_tid_emb_46', 1082.0)"
"('min_tid', 996.0)","('regqueryvalueexw', 1136.0)","('file_id_tid_emb_4', 1033.0)","('file_id_tid_emb_8', 1164.0)","('file_id_tid_emb_24', 1080.0)"
"('file_id_tid_emb_12', 995.0)","('ProNE_Emb_13', 1134.0)","('file_id_tid_emb_60', 1031.0)","('file_id_tid_emb_32', 1161.0)","('file_id_tid_emb_60', 1080.0)"
"('file_id_tid_emb_19', 991.0)","('ProNE_Emb_56', 1133.0)","('file_id_api_emb_58', 1028.0)","('std_api_counts', 1155.0)","('max_tid_counts', 1078.0)"
